company,paragraph
Unilever_2014_98,"Acting alone Unilever can only do so much to make sustainable living commonplace. Acting in partnership with others it can help bring about transformational change at a societal level to tackle the world’s major social, environmental and economic issues. By adopting a leadership role, and working with governments, NGOs, suppliers and others, we are influencing change on a bigger scale, with a much bigger prize for the business on offer. We are deepening our efforts in three areas where we have scale, influence and resources to create transformational change: deforestation; sustainable agriculture and smallholder farmers; and water, sanitation and hygiene."
Unilever_2014_99,"Delivering our business goals requires Unilever to recruit, develop and retain the right talent. We are determined to help all our people to be the best they can be, to help fulfil their potential and the potential of the business. Training and development are crucial at all levels and we strive to create a working environment that respects the human rights and interests of all our employees. Ensuring gender equality is a fundamental part of our approach while our Purpose of making sustainable living commonplace is a commitment that our people can engage with every day and make a reality through their work."
Unilever_2014_100,"We aim to deliver the best possible operational performance from the business to deliver maximum returns to shareholders. The resulting investment case of long-term, sustainable growth and improvement in returns is clear."
Unilever_2014_101,How we manage our portfolio of assets and finances is an important contributor to shareholder returns and reflects how the business is changing to meet a more volatile and uncertain world.
Unilever_2014_102,"Personal Care is Unilever’s largest category. It includes five of Unilever’s 13 €1 billion brands: global names such as Dove, Rexona, Axe, Lux and Sunsilk."
Unilever_2014_103,"Sales of €17.7 billion in 2014 accounted for 37% of Group turnover and 41% of operating profit. The strategic role of the category is to generate continued excellent returns, delivering competitive growth while expanding gross margins to release further investment for future growth."
Unilever_2014_104,"Our Personal Care brands serve consumers across the full range of price points, playing to the category’s historic strengths of developing markets and reaching down while very deliberately adding a new dimension to the business through accessing faster growing premium segments."
Unilever_2014_105,We also continue to expand our presence by launching our brand portfolio in new geographic markets and by improving our presence in distribution channels where we are under-represented. Our current focus is the e-commerce channel and specialist drug stores.
Unilever_2014_106,"In 2014 the global market slowed. In this context, Personal Care achieved 3.5% growth and continued to gain market share."
Unilever_2014_107,"Many of our leading brands have enjoyed success. Dove, our biggest brand, delivered another year of strong performance, driven by double-digit growth in deodorants and consistent performance in skin cleansing, which is rooted in a successful repeatable model of compelling communication and targeted innovation in bar and body wash. In hair, Dove’s success was helped by the strong start of the Advanced Hair Care range launched in the US and Europe. The brand is also building a premium offering with, for example, its new Oxygen Moisture hair care range in Europe and the launch of Dove Advanced Care solid deodorant sticks in the US."
Unilever_2014_108,"We also made progress against our Unilever Sustainable Living Plan (USLP) commitment to improve opportunities for women with the Dove Self-Esteem project, which has already reached over 15 million people. The brand partnered with the World Association of Girl Guides and Girl Scouts to launch the ‘Free Being Me’ Girl Guides  badge awarded to girls taking part in education on common body myths.  Also working to improve livelihoods, Lifebuoy soap continues to drive the largest handwashing behavioural  change programme in the world, having reached 257 million people in more than  16 countries between 2010 and 2014."
Unilever_2014_109,We made less progress on the USLP target of reducing our water footprint. Research and development will be critical to finding commercially viable and sustainable ways of driving the necessary changes in consumer behaviour when using our hair and skin cleansing products.
Unilever_2014_110,"Regenerate, a completely new Personal Care brand, was launched in the UK in 2014. It is a highly differentiated, oral care system based on revolutionary science and market-leading technology."
Unilever_2014_111,"Regenerate is the first dental care system to regenerate tooth enamel mineral, reversing the early enamel erosion process. The products work using our patented NR-5 technology and took scientists nine years of research across our R&D facilities in Port Sunlight, Milan and Shanghai to master. At each use, the NR-5 specific ingredients combine to form a fresh supply of enamel mineral which wraps and integrates on to teeth."
Unilever_2014_112,"Foods is a €12.4 billion category, home to Unilever’s largest brand, Knorr, and several €1 billion-plus brands including Hellmann’s and Family Goodness (Rama/Blue Band)."
Unilever_2014_113,"The category accounts for 25% of Group turnover and 45% of operating profit and its strategic role is to accelerate growth while maintaining above average cash and profit. To that end we continued the sale of non-core businesses, such as Ragu and Bertolli pasta sauces in North America, and the meat snacks business under the Bifi and Peperami brands in Europe, while positioning the remaining business for organic growth and expansion, especially in emerging markets"
Unilever_2014_114,"While the category improved profitability, sales were affected by a continued deterioration in market conditions, particularly for margarine where the decline in bread consumption has had an impact on the spreads markets in Europe and North America, which remain challenging."
Unilever_2014_115,"The underlying picture saw improved competitiveness though, with global market share gains in savoury, dressings and margarine, as well as strong performance in our Food Solutions business, which is focused on serving professional, out-of-home channels."
Unilever_2014_116,"In savoury, Knorr continued to expand its presence in emerging markets accounting for 50% of sales, with the brand enjoying double-digit growth in South Asia, North Africa, the Middle East and Turkey. Also brands like Royco and Bango, catering to local market needs, registered good growth."
Unilever_2014_117,"Consumers continue to enjoy Knorr which is growing, supported by its commitment to sustainability. Our target is to source 100% of our agricultural raw materials sustainably by 2020."
Unilever_2014_118,"In spreads, we accelerated the roll-out of our successful mélange range (blends of vegetable oils and butter), such as Rama with Butter, into 20 markets"
Unilever_2014_119,"Overall the markets in Europe and North America remained challenging and our margarine business declined. To address this we announced the creation of a stand-alone Baking, Cooking and Spreading Business Unit in these regions, which will be fully operational by the middle of 2015. The aim is to return to growth through greater management focus, speed and agility in executing the strategy."
Unilever_2014_120,"Growth in dressings was broad-based, thanks to positive contributions from all key brands and segments: mayonnaise, ketchup and mustard."
Unilever_2014_121,"Our Foods business plays an important role in delivering the USLP goals, particularly improving health and well-being, by delivering commercially attractive brands to meet consumer needs. In 2014 we continued the global roll-out of the ‘It Takes A Village’ initiative under leading brands such as Becel and Flora Pro.activ."
Unilever_2014_122,"The campaign shows that, with small changes to diet and lifestyle, cholesterol can be significantly reduced in three weeks and more than 80% of people who have participated have achieved this result"
Unilever_2014_123,"Refreshment generated €9.2 billion in sales. It includes ice cream brands such as Wall’s, Magnum, Cornetto and Ben & Jerry’s, and tea brands Lipton, Brooke Bond and PG tips. Lipton, Magnum and Heartbrand (Wall’s) are all €1 billion brands"
Unilever_2014_124,"The category accounts for 19% of Group turnover and 7% of operating profit, and its strategic role is to contribute to growth and improve profitability."
Unilever_2014_125,"Our ice cream brands grew well in 2014, and ahead of our markets, helped by emerging countries, with strong growth in Brazil, Turkey, Indonesia, South Africa and the Philippines."
Unilever_2014_126,"North America is one of the largest geographies for ice cream where consumption is high, but the market is challenging with regional and local supermarket brands operating at low  prices and low margins. Although profitable growth has been tough, our business has 
shown the best improvement in several years. We have premiumised the portfolio, aided by innovations such as Ben & Jerry’s Cores and Breyers Gelato. Towards the end of 2014 we announced the acquisition of Talenti Gelato & Sorbetto."
Unilever_2014_127,"Europe witnessed poor summer weather but we managed to grow sales and market share in a flat market. The ‘25 Year’ celebration of Magnum drove growth while innovations included downsized packs to enter the snacks market, such as the €1 Cornetto, and a responsible approach to nutrition, with all children’s ice creams now 110 calories or less. Magnum also now has more than 70% of its cocoa sustainably sourced from Rainforest Alliance certified farmers."
Unilever_2014_128,"Performance in leaf tea was mixed. Our strategy is to innovate with premium, higher quality teas and new formats, such as capsules like those used in coffee machines. Lipton K-Cup® tea capsules were launched in 2013 into the US and led a growth improvement in 2014."
Unilever_2014_129,Lipton intends to grow all its tea on Rainforest Alliance certified estates by 2015. Total beverages performance was lower than expected partly due to the low momentum of AdeS growth post the product recall in 2013.
Unilever_2014_130,Our recent premium tea acquisition T2 has demonstrated strong growth in Australia and New Zealand of 26%. Globally retail sales have grown 31% in a difficult retail environment.
